video,cond,texts_n,desc_mean_len,forbidden_rate,two_line_format_rate,hedging_per100w,frame_text_conflict_rate,fault_alignment_rate,reproducibility,length_variance,behavior_align_score_desc,ilc_coverage,bd_unique,odtr_offdomain
/app/data/raw/videos/validation_reencoded/bb_1_220801_vehicle_221_24841.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5819621086120605,0.0,0.0,0.42105263157894735
/app/data/raw/videos/validation_reencoded/bb_1_220507_vehicle_243_24810.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5819621086120605,0.0,0.0,0.42105263157894735
/app/data/raw/videos/validation_reencoded/bb_1_220414_vehicle_209_22339.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5819621086120605,0.0,0.0,0.42105263157894735
/app/data/raw/videos/validation_reencoded/bb_1_220407_vehicle_47_037.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5819621086120605,0.0,0.0,0.42105263157894735
/app/data/raw/videos/validation_reencoded/bb_1_220313_vehicle_14_011.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5819621086120605,0.0,0.0,0.42105263157894735
/app/data/raw/videos/validation_reencoded/bb_1_220219_vehicle_210_21470.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5819621086120605,0.0,0.0,0.42105263157894735
/app/data/raw/videos/validation_reencoded/bb_1_220218_vehicle_190_028.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5203955272833506,0.0,0.0,0.4553049289891395
/app/data/raw/videos/validation_reencoded/bb_1_220105_vehicle_116_201.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5819621086120605,0.0,0.0,0.42105263157894735
/app/data/raw/videos/validation_reencoded/bb_1_211231_vehicle_118_119.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5819621086120605,0.0,0.0,0.42105263157894735
/app/data/raw/videos/validation_reencoded/bb_1_211214_vehicle_089_021.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5819621086120605,0.0,0.0,0.42105263157894735
/app/data/raw/videos/validation_reencoded/bb_1_211213_vehicle_114_167.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5819621086120605,0.0,0.0,0.42105263157894735
/app/data/raw/videos/validation_reencoded/bb_1_211129_vehicle_235_21934.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5341816941897074,0.0,0.0,0.4473684210526316
/app/data/raw/videos/validation_reencoded/bb_1_211127_vehicle_252_24503.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5819621086120605,0.0,0.0,0.42105263157894735
/app/data/raw/videos/validation_reencoded/bb_1_211124_vehicle_30_412.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5819621086120605,0.0,0.0,0.42105263157894735
/app/data/raw/videos/validation_reencoded/bb_1_211031_vehicle_225_22188.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5819621086120605,0.0,0.0,0.42105263157894735
/app/data/raw/videos/validation_reencoded/bb_1_210927_vehicle_207_22007.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5819621086120605,0.0,0.0,0.42105263157894735
/app/data/raw/videos/validation_reencoded/bb_1_210910_vehicle_45_284.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5819621086120605,0.0,0.0,0.42105263157894735
/app/data/raw/videos/validation_reencoded/bb_1_210827_vehicle_316_051.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5819621086120605,0.0,0.0,0.42105263157894735
/app/data/raw/videos/validation_reencoded/bb_1_210820_vehicle_113_137.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5266752739747366,0.0,0.0,0.4473684210526316
/app/data/raw/videos/validation_reencoded/bb_1_210720_vehicle_206_22387.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5819621086120605,0.0,0.0,0.42105263157894735
/app/data/raw/videos/validation_reencoded/bb_1_210713_vehicle_113_094.mp4,A0,3,15.333333333333334,0.0,1.0,0.0,0.0,1.0,0.4,37.55555555555556,0.5860292514165243,0.0,0.0,0.3952850877192982
/app/data/raw/videos/validation_reencoded/bb_1_210607_vehicle_314_057.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5819621086120605,0.0,0.0,0.42105263157894735
/app/data/raw/videos/validation_reencoded/bb_1_210523_vehicle_21_250.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5819621086120605,0.0,0.0,0.42105263157894735
/app/data/raw/videos/validation_reencoded/bb_1_210507_vehicle_248_22993.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5819621086120605,0.0,0.0,0.42105263157894735
/app/data/raw/videos/validation_reencoded/bb_1_210210_vehicle_221_22209.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5819621086120605,0.0,0.0,0.42105263157894735
/app/data/raw/videos/validation_reencoded/bb_1_210209_vehicle_112_136.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5819621086120605,0.0,0.0,0.42105263157894735
/app/data/raw/videos/validation_reencoded/bb_1_210206_vehicle_148_012.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5819621086120605,0.0,0.0,0.42105263157894735
/app/data/raw/videos/validation_reencoded/bb_1_210202_vehicle_224_23649.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5528723200162252,0.0,0.0,0.44012204424103735
/app/data/raw/videos/validation_reencoded/bb_1_210126_vehicle_200_21653.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5819621086120605,0.0,0.0,0.42105263157894735
/app/data/raw/videos/validation_reencoded/bb_1_201104_vehicle_244_21504.mp4,A0,3,11.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5819621086120605,0.0,0.0,0.42105263157894735
/app/data/raw/videos/validation_reencoded/bb_1_220801_vehicle_221_24841.mp4,A1_g0.2,3,10.333333333333334,0.0,1.0,0.0,0.0,1.0,0.15079365079365079,0.8888888888888888,0.5414024591445923,0.0,0.0,0.3491420859841912
/app/data/raw/videos/validation_reencoded/bb_1_220507_vehicle_243_24810.mp4,A1_g0.2,3,12.666666666666666,0.0,1.0,0.0,0.0,1.0,0.18333333333333332,1.5555555555555554,0.5565722187360128,0.0,0.0,0.3059147509578544
